billing_account_reference,Serial_Number,type
004530829,cp0523atckp,
004531455,cp0523atfkn,
004531537,cp0522atyyk,
004531130,cp0416at9hw,
004531820,cp0329atjlw,
004531461,cp0503bt82b,
004531698,cp0335atu6t,
004532381,cp0409bt9rk,
004532123,cp0330atgj5,
004531892,1100645,
004532356,cp0522atyz7,
004532947,cp0522at47d,
004533098,cp0301pzpze,
004533252,cp0523at7vw,
004533440,cp0522atyv9,
004533623,cp0523at7y5,
004533234,cp0445btdhf,
004484731,cp0449btfjp,
004533845,cp0334btgjg,
006412313,cp0441atur8,
004534267,cp0449btn6l,
004488185,ZU587900397GB,
004468094,cp0515gt8vt,
003634242,cp0515bty9w,
004535608,cp0515gt7vf,
004535368,cp0511btjc4,
004535472,cp0516at0br,
004535551,cp0515btwpb,
004488185,cp0511btj3p,
003629580,1015802B2A29DC5,
004536420,cp0511btcyf,
004536863,cp0515btwj3,
004536853,cp0511btlvb,
004537181,cp0511btlnb,
004537393,cp0513btg1a,
004537602,cp0515bty1w,
004484731,cp0515btw4w,
004537654,cp0511btm1v,
004537655,cp0513btfaa,
004527535,1015902B2BF15C4,
004537825,CP0515BTZWA,
004537955,cp0511btluc,
004538016,cp0513btfgl,
006014942,cp0513btfql,
005167678,CP0515CT06F,
004538975,CP0511ATCV5,
004539037,CP0511ATCV3,
004539337,cp0511btmwv,
004539189,CP0513BTFK0,
006262899,cp0511ct4te,
004539618,CP0511AT4DY,
004539820,CP0515GT947,
004528406,CP0513BTFT3,
004539814,CP0511ATD5S,
004540356,CP0513ATGBG,
004540479,cp0515bt83s,
004540581,cp0515btzyu,
004540599,CP0515GT7YE,
004540816,cp0511ct58q,
004540792,cp0516at0dd,
004540484,cp0513btfvp,
004541586,cp0516at013,
004540245,cp0511at0ly,
004541165,cp0515bty2t,
004542665,cp0511at4mg,
004495357,cp0511ct5uf,
004542483,cp0511btucu,
004543597,cp0511bttuh,
004543850,cp0511ctcbl,
004544300,cp0511btv2p,
004544274,CP0511CT2B6,
004545292,CP0511CT1WC,
004544581,CP0511ATR9B,
004545390,CP0511CT2DT,
004545489,CP0511BTUSR,
004544967,CP0511CT6YQ,
004544499,CP0511CT5ES,
004546607,CP0511CT5SL,
004546747,CP0511CT5FW,
004546923,CP0511CT1AA,
004546922,CP0511CT6Q0,
004546814,CP0511CT5T7,
